,Paises,Divisa,Codigo
0,AFGHANISTAN,Afghani,AFN
1,ÅLAND ISLANDS,Euro,EUR
2,ALBANIA,Lek,ALL
3,ALGERIA,Algerian Dinar,DZD
4,AMERICAN SAMOA,US Dollar,USD
5,ANDORRA,Euro,EUR
6,ANGOLA,Kwanza,AOA
7,ANGUILLA,East Caribbean Dollar,XCD
8,ANTARCTICA,No universal currency,XCD
9,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD
10,ARGENTINA,Argentine Peso,ARS
11,ARMENIA,Armenian Dram,AMD
12,ARUBA,Aruban Florin,AWG
13,AUSTRALIA,Australian Dollar,AUD
14,AUSTRIA,Euro,EUR
15,AZERBAIJAN,Azerbaijanian Manat,AZN
16,BAHAMAS (THE),Bahamian Dollar,BSD
17,BAHRAIN,Bahraini Dinar,BHD
18,BANGLADESH,Taka,BDT
19,BARBADOS,Barbados Dollar,BBD
20,BELARUS,Belarussian Ruble,BYN
21,BELGIUM,Euro,EUR
22,BELIZE,Belize Dollar,BZD
23,BENIN,CFA Franc BCEAO,XOF
24,BERMUDA,Bermudian Dollar,BMD
25,BHUTAN,Ngultrum,BTN
26,BHUTAN,Indian Rupee,INR
27,BOLIVIA (PLURINATIONAL STATE    OF),Boliviano,BOB
28,BOLIVIA (PLURINATIONAL STATE    OF),Mvdol,BOV
29,"BONAIRE, SINT EUSTATIUS AND    SABA",US Dollar,USD
30,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM
31,BOTSWANA,Pula,BWP
32,BOUVET ISLAND,Norwegian Krone,NOK
33,BRAZIL,Brazilian Real,BRL
34,BRITISH INDIAN OCEAN    TERRITORY (THE),US Dollar,USD
35,BRUNEI DARUSSALAM,Brunei Dollar,BND
36,BULGARIA,Bulgarian Lev,BGN
37,BURKINA FASO,CFA Franc BCEAO,XOF
38,BURUNDI,Burundi Franc,BIF
39,CABO VERDE,Cabo Verde Escudo,CVE
40,CAMBODIA,Riel,KHR
41,CAMEROON,CFA Franc BEAC,XAF
42,CANADA,Canadian Dollar,CAD
43,CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD
44,CENTRAL AFRICAN REPUBLIC    (THE),CFA Franc BEAC,XAF
45,CHAD,CFA Franc BEAC,XAF
46,CHILE,Unidad de Fomento,CLF
47,CHILE,Chilean Peso,CLP
48,CHINA,Yuan Renminbi,CNY
49,CHRISTMAS ISLAND,Australian Dollar,AUD
50,COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD
51,COLOMBIA,Colombian Peso,COP
52,COLOMBIA,Unidad de Valor Real,COU
53,COMOROS (THE),Comoro Franc,KMF
54,CONGO (THE DEMOCRATIC    REPUBLIC OF THE),Congolese Franc,CDF
55,CONGO (THE),CFA Franc BEAC,XAF
56,COOK ISLANDS (THE),New Zealand Dollar,NZD
57,COSTA RICA,Costa Rican Colon,CRC
58,CÔTE D'IVOIRE,CFA Franc BCEAO,XOF
59,CROATIA,Kuna,HRK
60,CUBA,Peso Convertible,CUC
61,CUBA,Cuban Peso,CUP
62,CURAÇAO,Netherlands Antillean Guilder,ANG
63,CYPRUS,Euro,EUR
64,CZECH REPUBLIC (THE),Czech Koruna,CZK
65,DENMARK,Danish Krone,DKK
66,DJIBOUTI,Djibouti Franc,DJF
67,DOMINICA,East Caribbean Dollar,XCD
68,DOMINICAN REPUBLIC (THE),Dominican Peso,DOP
69,ECUADOR,US Dollar,USD
70,EGYPT,Egyptian Pound,EGP
71,EL SALVADOR,El Salvador Colon,SVC
72,EL SALVADOR,US Dollar,USD
73,EQUATORIAL GUINEA,CFA Franc BEAC,XAF
74,ERITREA,Nakfa,ERN
75,ESTONIA,Euro,EUR
76,ETHIOPIA,Ethiopian Birr,ETB
77,EUROPEAN UNION,Euro,EUR
78,FALKLAND ISLANDS (THE)    [MALVINAS],Falkland Islands Pound,FKP
79,FAROE ISLANDS (THE),Danish Krone,DKK
80,FIJI,Fiji Dollar,FJD
81,FINLAND,Euro,EUR
82,FRANCE,Euro,EUR
83,FRENCH GUIANA,Euro,EUR
84,FRENCH POLYNESIA,CFP Franc,XPF
85,FRENCH SOUTHERN TERRITORIES    (THE),Euro,EUR
86,GABON,CFA Franc BEAC,XAF
87,GAMBIA (THE),Dalasi,GMD
88,GEORGIA,Lari,GEL
89,GERMANY,Euro,EUR
90,GHANA,Ghana Cedi,GHS
91,GIBRALTAR,Gibraltar Pound,GIP
92,GREECE,Euro,EUR
93,GREENLAND,Danish Krone,DKK
94,GRENADA,East Caribbean Dollar,XCD
95,GUADELOUPE,Euro,EUR
96,GUAM,US Dollar,USD
97,GUATEMALA,Quetzal,GTQ
98,GUERNSEY,Pound Sterling,GBP
99,GUINEA,Guinea Franc,GNF
100,GUINEA-BISSAU,CFA Franc BCEAO,XOF
101,GUYANA,Guyana Dollar,GYD
102,HAITI,Gourde,HTG
103,HAITI,US Dollar,USD
104,HEARD ISLAND AND McDONALD    ISLANDS,Australian Dollar,AUD
105,HOLY SEE (THE),Euro,EUR
106,HONDURAS,Lempira,HNL
107,HONG KONG,Hong Kong Dollar,HKD
108,HUNGARY,Forint,HUF
109,ICELAND,Iceland Krona,ISK
110,INDIA,Indian Rupee,INR
111,INDONESIA,Rupiah,IDR
112,INTERNATIONAL MONETARY FUND    (IMF),SDR (Special Drawing Right),XDR
113,IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,IRR
114,IRAQ,Iraqi Dinar,IQD
115,IRELAND,Euro,EUR
116,ISLE OF MAN,Pound Sterling,GBP
117,ISRAEL,New Israeli Sheqel,ILS
118,ITALY,Euro,EUR
119,JAMAICA,Jamaican Dollar,JMD
120,JAPAN,Yen,JPY
121,JERSEY,Pound Sterling,GBP
122,JORDAN,Jordanian Dinar,JOD
123,KAZAKHSTAN,Tenge,KZT
124,KENYA,Kenyan Shilling,KES
125,KIRIBATI,Australian Dollar,AUD
126,KOREA (THE DEMOCRATIC    PEOPLE’S REPUBLIC OF),North Korean Won,KPW
127,KOREA (THE REPUBLIC OF),Won,KRW
128,KUWAIT,Kuwaiti Dinar,KWD
129,KYRGYZSTAN,Som,KGS
130,LAO PEOPLE’S DEMOCRATIC    REPUBLIC (THE),Kip,LAK
131,LATVIA,Euro,EUR
132,LEBANON,Lebanese Pound,LBP
133,LESOTHO,Loti,LSL
134,LESOTHO,Rand,ZAR
135,LIBERIA,Liberian Dollar,LRD
136,LIBYA,Libyan Dinar,LYD
137,LIECHTENSTEIN,Swiss Franc,CHF
138,LITHUANIA,Euro,EUR
139,LUXEMBOURG,Euro,EUR
140,MACAO,Pataca,MOP
141,REPUBLIC OF NORTH MACEDONIA,Denar,MKD
142,MADAGASCAR,Malagasy Ariary,MGA
143,MALAWI,Kwacha,MWK
144,MALAYSIA,Malaysian Ringgit,MYR
145,MALDIVES,Rufiyaa,MVR
146,MALI,CFA Franc BCEAO,XOF
147,MALTA,Euro,EUR
148,MARSHALL ISLANDS (THE),US Dollar,USD
149,MARTINIQUE,Euro,EUR
